Zeit;Kanal A
(ms);(mV)

-25.00999905;0.55917820
-25.00499905;-0.55917820
-24.99999905;0.00000000
-24.99499905;-1.49114200
-24.98999905;-2.05032000
-24.98499905;-2.60949800
-24.97999905;-2.42310500
-24.97499905;-3.35568400
-24.96999905;-3.54207700
-24.96499905;-3.16929100
-24.95999905;-3.35568400
-24.95499905;-1.49114200
-24.94999905;-1.30474900
-24.94499905;-1.86392700
-24.93999905;-0.74557080
-24.93499905;-0.18639270
-24.92999905;-0.74557080
-24.92499905;0.18639270
-24.91999905;0.00000000
-24.91499905;1.67753400
-24.90999905;0.55917820
-24.90499905;0.93196360
-24.89999905;1.49114200
-24.89499905;1.67753400
-24.88999905;2.42310500
-24.88499905;1.11835600
-24.87999905;0.93196360
-24.87499906;0.74557080
-24.86999906;0.37278540
-24.86499906;-0.37278540
-24.85999906;0.93196360
-24.85499906;0.00000000
-24.84999906;0.18639270
-24.84499906;0.37278540
-24.83999906;0.18639270
-24.83499906;1.11835600
-24.82999906;1.11835600
-24.82499906;1.11835600
-24.81999906;2.05032000
-24.81499906;1.49114200
-24.80999906;2.60949800
-24.80499906;2.05032000
-24.79999906;3.54207700
-24.79499906;2.42310500
-24.78999906;2.60949800
-24.78499906;2.05032000
-24.77999906;2.60949800
-24.77499906;2.42310500
-24.76999906;3.16929100
-24.76499906;2.98289800
-24.75999906;3.16929100
-24.75499906;2.98289800
-24.74999906;3.54207700
-24.74499906;2.98289800
-24.73999906;3.91486200
-24.73499906;4.10125500
-24.72999906;4.47404100
-24.72499906;3.35568400
-24.71999906;3.72846900
-24.71499906;4.10125500
-24.70999906;3.35568400
-24.70499906;2.79650600
-24.69999906;2.60949800
-24.69499906;2.60949800
-24.68999906;2.60949800
-24.68499906;1.30474900
-24.67999906;1.67753400
-24.67499906;1.11835600
-24.66999906;0.74557080
-24.66499906;1.11835600
-24.65999906;1.11835600
-24.65499906;2.23671300
-24.64999906;2.05032000
-24.64499906;1.49114200
-24.63999906;2.42310500
-24.63499906;2.60949800
